"WBIC","surveyYear","PE","Density"
2762200,2013,1513,3.246781116
692900,1991,3077,3.44955157
692900,1994,2101,2.355381166
692900,1997,1834,2.056053812
692900,2002,528,0.591928251
692900,2012,247,0.27690583
692900,2013,248,0.278026906
1569600,2007,2120,4.873563218
2391200,1994,3847,1.236579878
2391200,2000,3682,1.183542269
2391200,2003,6655,2.139183542
2391200,2006,3500,1.12504018
2391200,2009,5891,1.893603343
2391200,2012,4439,1.426872388
2391200,2015,7383,2.3731919
2621100,1991,963,1.663212435
2621100,2001,717,1.238341969
1517900,2002,297,1.146718147
2958500,1989,1660,3.274161736
2958500,1992,1318,2.599605523
2958500,1997,1913,3.773175542
2958500,2013,6060,11.95266272
2903200,1991,2223,8.583011583
2903200,2001,1550,5.984555985
2903200,2010,526,2.030888031
1589100,2001,1152,3.814569536
1589100,2016,2158,7.145695364
2344000,1991,2514,3.42506812
2344000,1993,2810,3.828337875
2953100,2016,1014,4.333333333
2334400,1993,3591,3.51026393
1610500,1994,249,0.844067797
2334400,1999,6683,6.532746823
2334400,2004,3500,3.421309873
377900,2002,2811,15.88135593
377900,2004,2475,13.98305085
377900,2007,1903,10.75141243
377900,2014,560,3.163841808
377900,2016,447,2.525423729
1543300,1991,885,1.5
1543300,1993,2360,4
1543300,2001,3766,6.383050847
1543300,2008,5803,9.83559322
1542300,1998,3495,5.21641791
1542300,2009,2274,3.394029851
716800,1999,1819,1.900731452
716800,2000,574,0.599791014
716800,2001,5204,5.437826541
716800,2002,2538,2.652037618
716800,2003,10474,10.9446186
716800,2005,9549,9.978056426
716800,2006,12489,13.05015674
716800,2014,4705,4.916405434
716800,2016,1766,1.845350052
672900,1997,196,0.933333333
672900,2012,95,0.452380952
2113300,2005,8654,4.507291667
2399700,1999,82070,5.364052288
2399700,2011,46982,3.070718954
2133200,2013,5755,6.691860465
2133200,2017,4069,4.731395349
2935500,2014,471,2.211267606
995200,1994,3737,6.238731219
995200,1995,3530,5.893155259
995200,1998,2422,4.043405676
995200,2005,1321,2.205342237
396500,1992,1410,1.374269006
396500,2001,1913,1.864522417
396500,2006,904,0.881091618
396500,2011,655,0.638401559
396500,2015,713,0.694931774
394400,1989,4706,2.363636364
394400,1992,4987,2.504771472
394400,1997,7376,3.70467102
394400,1999,4851,2.436464088
394400,2001,3518,1.766951281
394400,2004,1199,0.602209945
394400,2009,2574,1.29281768
394400,2010,3993,2.005524862
394400,2011,2569,1.290306379
394400,2013,9836,4.94023104
394400,2016,5770,2.898041185
2903700,2001,1095,5.983606557
2903700,2010,372,2.032786885
2866200,1995,611,1.414351852
2691500,1992,598,0.774611399
2691500,1993,538,0.696891192
2865000,1992,3115,3.40809628
2865000,1994,2362,2.584245077
2865000,1997,1609,1.760393873
2865000,1998,1525,1.668490153
2865000,2005,1149,1.257111597
2865000,2014,1212,1.326039387
1516500,2001,9659,3.96999589
2900200,1994,2050,1.549508692
2900200,1999,2399,1.813303099
2900200,2001,2454,1.854875283
2900200,2003,1532,1.157974301
2900200,2007,1495,1.130007559
2900200,2013,1140,0.861678005
1569900,1999,517,1.353403141
2152800,2015,8389,1.331587302
2390800,1991,6587,1.30720381
