"WBIC","species","surveyYear","county","meanEF_CPEkm","totalFishCaught","totalDistShockedKm","totalHoursSampled","std","N"
525900,"WALLEYE",2014,"MARINETTE",3.72823641989884,18,1.864113,2,NA,1
531300,"WALLEYE",2014,"MARINETTE",1.24274547329961,8,2.485484,2,NA,1
531300,"WALLEYE",2015,"MARINETTE",6.36907055066052,41,2.485484,2,5.49221094661901,2
540600,"WALLEYE",2005,"MARINETTE",1.70256129842047,43,9.941936,7,NA,1
540600,"WALLEYE",2010,"MARINETTE",2.41713994556775,45,7.456452,6,NA,1
540600,"WALLEYE",2014,"MARINETTE",10.7683895261411,143,4.970968,4,NA,1
545400,"WALLEYE",2006,"MARINETTE",1.23653174593312,30,9.320565,8,NA,1
545400,"WALLEYE",2012,"MARINETTE",1.98839275727938,32,6.21371,5,NA,1
555700,"WALLEYE",1998,"FOREST",0.733219829246772,27,14.291533,NA,NA,1
555700,"WALLEYE",2011,"FOREST",1.63421029738899,10,2.485484,2,NA,1
585100,"WALLEYE",2005,"FLORENCE",1.9262554836144,17,3.106855,4,NA,1
608400,"WALLEYE",2013,"FOREST",13.9187493009557,43,1.242742,1,NA,1
609200,"WALLEYE",2011,"MARINETTE",7.7050219344576,31,1.864113,1,NA,1
609400,"WALLEYE",2001,"MARINETTE",3.41755005157394,11,1.242742,5,NA,1
634300,"WALLEYE",2010,"MARINETTE",9.79283432960095,93,3.728226,3,NA,1
634300,"WALLEYE",2014,"MARINETTE",8.0281357575155,62,3.106855,2,NA,1
646900,"WALLEYE",2015,"MARINETTE",2.54762822026421,16,2.485484,2,NA,1
647300,"WALLEYE",2016,"MARINETTE",4.69757788907254,34,3.106855,2,NA,1
647500,"WALLEYE",2009,"MARINETTE",7.76715920812258,50,2.485484,2,NA,1
650500,"WALLEYE",2002,"FLORENCE",0.0683510010314787,1,5.592339,3,NA,1
651600,"WALLEYE",2002,"FLORENCE",9.44486559707706,152,6.21371,4,NA,1
651600,"WALLEYE",2012,"FLORENCE",4.64786807014055,73,6.21371,3,NA,1
653700,"WALLEYE",2000,"FLORENCE",12.849988193918,242,7.456452,4,NA,1
653700,"WALLEYE",2004,"FLORENCE",12.7443548286875,320,9.941936,NA,0.114237987689676,2
653700,"WALLEYE",2011,"FLORENCE",8.034349484882,53,2.485484,2,NA,1
672300,"WALLEYE",2005,"FLORENCE",0.820212012377745,15,6.835081,3,NA,1
672900,"WALLEYE",2000,"FLORENCE",4.44902879441262,106,9.320565,6,NA,1
672900,"WALLEYE",2007,"FLORENCE",13.3967962021698,69,1.864113,1,NA,1
